place,l6,l5,l4,l3,l2,l1
yanqing,28,100,97,179,216,103
huairou,36,102,103,180,215,87
miyunshuiku,20,83,78,174,215,153
fangshan,87,114,120,175,191,36
yongdingmengxi,71,115,119,195,199,24
yongledian,97,126,110,207,159,24
wanshouxigong,61,109,109,201,203,40
dongsihuan,71,111,114,199,195,33
miyun,31,101,95,189,223,84
mengtougou,42,82,93,213,221,72
changping,36,102,90,209,211,75
fentaihuayuan,82,98,133,202,180,28
pinggu,42,108,89,225,199,60
yizhuang,85,126,109,202,168,33
liulihe,115,134,114,192,146,22
zhiwuyuan,39,99,99,212,185,89
aotizhongxing,62,97,134,192,191,47
beibuxingqu,55,108,107,190,210,53
tongzhou,79,143,112,207,154,28
badaling,19,82,95,176,252,99
nongzhanguan,66,106,116,226,157,52
tiantan,50,102,122,211,183,55
yungang,67,95,115,209,189,48
dingling,35,101,84,193,199,111
daxing,85,119,112,215,165,27
gucheng,60,93,136,225,179,30
qianmeng,68,121,109,176,182,67
donggaocun,31,106,105,261,158,62
guanyuan,50,103,123,209,186,52
dongsi,56,120,120,180,201,46
yufa,85,128,101,213,167,29
wanliu,54,100,122,201,198,48
shunyi,50,115,107,195,192,64
xizhimengbei,66,92,125,179,230,31
nansanhuan,72,123,136,185,193,14
